Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Is_Heavily_Polluted,Distance_to_Oil_Spill_km,Nearest_Oil_Spill_Gallons,Percent_Bleaching
13.06,-59.557,301.29,300.43,11.5,7,-0.22,144.4596793,376.86,0,319.6607434,3450,62.5
17.994,-87.901,301.6,300.87,12.75,4,1.74,166.3727737,465.85,0,235.8481583,3450,62.5
17.538,-87.744,301.15,300.99,11.85,9,-1.59,128.0411435,465.85,0,185.1347227,3450,62.5
23.177,-82.098,301.06,300.3,2,8,1.1,42.71731871,275.27,0,58.41221345,3450,62.5
19.932,-87.434,300.07,300.81,7.1,5,-0.04,35.37717889,283.94,0,452.9859696,3450,62.5
18.66,-87.709,262.15,300.87,10.25,4,0.86,177.0229299,283.94,0,309.9444614,3450,62.5
18.704,-87.704,262.15,300.88,10.1,4,0.91,172.1822523,283.94,0,314.8534301,3450,62.5
11.193,-60.827,300.33,300.49,12,6,-1.15,184.3696041,376.86,0,70.50007392,3450,62.5
17.785,-64.609,298.92,300.38,12,8,0.4,213.9842202,435.4,0,3.539073805,15,62.5
18.256,-65.592,301.89,300.46,5,4,1.55,160.6288957,366.17,0,2.753720369,462000,62.5
18.309,-65.655,262.15,300.44,5,4,1.43,153.048081,366.17,0,9.862918845,100000,62.5
17.783,-64.649,301.24,300.38,11.3,6,0.56,212.143859,435.4,0,2.490705832,15,62.5
17.8,-64.63,301.19,300.38,3.7,6,0.29,214.6570827,435.4,0,3.92766579,15,62.6
13.122,-59.649,301.92,300.53,11.5,5,1.64,153.6823673,376.86,0,319.8853865,3450,62.7
25.109,-80.338,302.44,299.77,2.8,4,0.14,215.3084517,408.45,0,8.446826071,800,62.7
11.247,-60.751,301.2,300.46,12,6,0.46,174.4767104,376.86,0,80.37692323,3450,62.8
20.8176,-78.9722,301.21,301.28,22.5,8,-0.53,196.2200442,442.41,0,232.3357855,10290000,63
20.818,-78.972,301.21,301.28,22.5,8,-0.53,196.2691094,442.41,0,232.2908106,10290000,63
18.667,-87.716,262.15,300.88,10.2,7,-1.51,176.4861373,283.94,0,310.6958286,3450,63
-10.202,150.864,302.2,300.85,10,3,0.58,117.431015,470.72,0,2181.544866,3450,63
18.358,-65.033,301.86,300.41,14,4,1.27,178.0976581,366.17,0,7.267648128,13000,63
17.802,-64.599,301.18,300.38,12.8,6,0.28,216.1390099,435.4,0,5.608575993,15,63
20.099,-87.462,302.1,300.78,8.5,3,1.3,25.9835177,283.94,0,471.2375861,3450,63.2
11.198,-60.8,301.2,300.49,7,6,-0.65,181.426202,376.86,0,72.77183406,3450,63.2
25.604,-80.094,302.39,299.85,6.7,3,1,190.1626761,408.45,0,0.74821784,3450,63.3
17.78,-64.592,301.22,300.38,12.2,6,0.01,214.1915669,435.4,0,4.849077902,15,63.4
20.017,-87.462,300.01,300.76,10.1,6,-0.57,30.60981799,283.94,0,462.1498334,3450,63.6
