Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Percent_Bleaching
23.831,-76.198,299.84,299.83,3.65,6.0,0.49,85.3394777469631,481.07,57.1
20.051,-87.463,299.66,300.78,12.6,5.0,0.16,28.517754112295577,283.94,57.1
20.051,-87.463,301.7,300.78,13.4,4.0,1.66,28.517754112295577,283.94,57.1
18.687,-87.712,262.15,300.88,7.3,5.0,1.17,174.23492726524603,283.94,57.1
18.634,-87.72,262.15,300.87,9.1,5.0,0.46,180.12359497474534,283.94,57.1
18.634,-87.719,262.15,300.87,9.85,4.0,1.1,180.09379131292158,283.94,57.1
18.721,-87.691,300.28,300.88,8.2,7.0,-0.81,169.98065774433562,283.94,57.1
18.718,-87.693,302.26,300.88,9.95,4.0,0.99,170.36015720685413,283.94,57.1
18.685,-87.707,262.15,300.88,7.3,5.0,1.17,174.29719268986423,283.94,57.1
17.785,-64.609,298.92,300.38,12.0,8.0,0.4,213.98422021837757,435.4,57.1
24.501,-81.632,299.78,299.82,2.2,8.0,2.13,192.31107557164475,275.27,57.1
17.785,-64.588,301.22,300.38,8.2,6.0,0.01,214.8710574991965,435.4,57.1
17.766,-64.628,301.24,300.38,4.9,6.0,0.56,211.25176331202485,435.4,57.2
18.279,-64.898,299.82,300.4,15.0,4.0,-0.14,193.80479669858656,366.17,57.4
-14.33,-170.5,302.17,301.39,8.5,4.0,-0.44,91.11518917265151,427.03,57.5
24.536,-81.457,300.9,299.82,12.5,8.0,0.29,200.27592728959075,275.27,57.6
17.888,-66.998,299.58,300.75,21.5,7.0,-0.12,147.91382004564414,497.53,57.7
18.318,-64.991,301.84,300.41,14.0,4.0,1.48,184.32280388295166,366.17,57.8
18.707,-87.706,262.15,300.88,9.2,6.0,-0.34,171.92325007322452,283.94,57.9
18.675,-87.708,262.15,300.88,11.35,7.0,-1.51,175.39322563674804,283.94,57.9
20.038,-87.466,301.38,300.78,8.8,4.0,0.71,29.56953690673031,283.94,57.9
11.194,-60.836,300.33,300.49,12.0,6.0,-1.15,185.24305570062313,376.86,57.9
-4.6922,39.4094,300.64,300.18,1.38,5.0,0.55,135.5790248182968,271.47,58.0
18.366,-64.805,299.76,300.36,10.0,4.0,0.27,192.9407946368367,366.17,58.0
18.263,-64.872,301.82,300.4,22.0,4.0,2.53,196.9170418065331,366.17,58.0
18.386,-65.627,300.16,300.34,3.0,10.0,-0.14,145.73954035542332,366.17,58.0
18.452,-64.53,301.04,300.24,2.0,6.0,-0.68,207.58115886953678,366.17,58.1
18.681,-87.713,262.15,300.88,10.0,6.0,-0.34,174.90419924497655,283.94,58.1
20.052,-87.466,299.31,300.78,5.05,5.0,-1.55,28.725502922806164,283.94,58.3
18.724,-87.698,302.26,300.88,5.35,4.0,0.99,169.87054327568507,283.94,58.3
20.015,-87.465,300.01,300.76,4.6,6.0,-0.57,30.993676972415006,283.94,58.3
19.967,-87.453,262.15,300.81,8.8,6.0,-1.19,33.67227159511623,283.94,58.3
18.72,-87.699,262.15,300.88,9.45,7.0,-1.32,170.32684643835537,283.94,58.3
18.704,-87.704,262.15,300.88,10.4,4.0,0.91,172.18225231651314,283.94,58.3
18.704,-87.704,262.15,300.88,6.55,7.0,-1.51,172.18225231651314,283.94,58.3
18.704,-87.702,262.15,300.88,13.75,4.0,0.51,172.12202374028053,283.94,58.3
18.634,-87.718,262.15,300.87,17.85,5.0,1.06,180.06404379502152,283.94,58.3
17.785,-64.609,298.92,300.38,12.0,8.0,0.4,213.98422021837757,435.4,58.3
13.292,-59.663,301.88,300.51,11.5,5.0,2.41,172.28884900816436,376.86,58.4
25.41,-80.157,302.48,299.91,2.4,3.0,0.22,194.92329213049595,408.45,58.6
17.759,-64.565,301.2,300.38,7.9,6.0,0.02,213.23477331939287,435.4,58.7
23.831,-76.198,299.84,299.83,3.65,6.0,0.49,85.3394777469631,481.07,58.8
20.017,-87.462,300.01,300.76,11.75,6.0,-0.57,30.60981798851405,283.94,58.8
